Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-ref                ,   1,   1,   1,   1,   1,   1,  3.924599,  3.848867,  3.961078,  3.922254,  3.848867,  3.961078
hdiff-cpu-unstr          ,   1,   1,   1,   1,   1,   1,  4.028741,  3.809276,  7.774374,  2.988710,  2.987121,  7.774374
hdiff-cuda               ,  64,  64,  32,   4,   4,   2,  0.869855,  0.832397,  0.898355,  0.014843,  0.013473,  0.898355
hdiff-cuda               ,  64,  64,  64,   4,   4,   1,  0.860066,  0.842674,  0.902857,  0.019182,  0.017112,  0.902857
hdiff-cuda               ,  64, 128,  32,   4,   2,   2,  0.851621,  0.798882,  0.951014,  0.020189,  0.017275,  0.951014
hdiff-cuda               ,  64, 128,  64,   4,   2,   1,  0.852490,  0.828506,  0.908175,  0.026402,  0.023186,  0.908175
hdiff-cuda               , 128,  64,  32,   2,   4,   2,  0.860328,  0.836336,  0.900093,  0.020982,  0.018736,  0.900093
hdiff-cuda               , 128,  64,  64,   2,   4,   1,  0.859955,  0.825665,  0.903489,  0.029376,  0.026230,  0.903489
hdiff-cuda               , 128, 128,  32,   2,   2,   2,  0.855969,  0.820161,  0.894767,  0.030560,  0.024992,  0.894767
hdiff-cuda               , 128, 128,  64,   2,   2,   1,  0.866702,  0.844278,  0.898658,  0.043249,  0.038919,  0.898658
hdiff-cuda-seq           ,  64,  64,  32,   4,   4,   2,  0.861835,  0.850126,  0.942959,  0.025014,  0.023047,  0.942959
hdiff-cuda-seq           ,  64,  64,  64,   4,   4,   1,  0.889386,  0.878867,  0.934929,  0.035107,  0.032901,  0.934929
hdiff-cuda-seq           ,  64, 128,  32,   4,   2,   2,  0.894020,  0.883895,  0.946840,  0.035556,  0.033149,  0.946840
hdiff-cuda-seq           ,  64, 128,  64,   4,   2,   1,  0.913108,  0.877579,  0.997516,  0.067388,  0.056210,  0.997516
hdiff-cuda-seq           , 128,  64,  32,   2,   4,   2,  0.867556,  0.832306,  0.960024,  0.039582,  0.034856,  0.960024
hdiff-cuda-seq           , 128,  64,  64,   2,   4,   1,  0.975738,  0.920298,  1.006834,  0.112030,  0.137510,  1.006834
hdiff-cuda-seq           , 128, 128,  32,   2,   2,   2,  0.921192,  0.897883,  1.033552,  0.067158,  0.056891,  1.033552
hdiff-cuda-seq           , 128, 128,  64,   2,   2,   1,  0.994872,  0.975842,  1.060570,  0.153319,  0.177749,  1.060570
hdiff-unstr-naive        ,  64,  64,  32,   4,   4,   2,  0.924280,  0.902074,  1.129441,  0.045126,  0.035458,  1.129441
hdiff-unstr-naive        ,  64,  64,  64,   4,   4,   1,  0.949228,  0.925010,  1.194805,  0.061283,  0.046895,  1.194805
hdiff-unstr-naive        ,  64, 128,  32,   4,   2,   2,  0.941511,  0.919474,  1.178124,  0.054324,  0.087148,  1.178124
hdiff-unstr-naive        ,  64, 128,  64,   4,   2,   1,  0.959072,  0.938041,  1.215813,  0.068796,  0.055502,  1.215813
hdiff-unstr-naive        , 128,  64,  32,   2,   4,   2,  0.944070,  0.920104,  1.157618,  0.055939,  0.042935,  1.157618
hdiff-unstr-naive        , 128,  64,  64,   2,   4,   1,  0.961283,  0.943967,  1.213088,  0.073387,  0.060462,  1.213088
hdiff-unstr-naive        , 128, 128,  32,   2,   2,   2,  0.959827,  0.935740,  1.177965,  0.066479,  0.053268,  1.177965
hdiff-unstr-naive        , 128, 128,  64,   2,   2,   1,  0.980261,  0.954217,  1.212267,  0.092803,  0.077453,  1.212267
hdiff-unstr-kloop        ,   1,   1,   1, 256, 256,   1,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-idxvar       ,   1,   1,   1, 256, 256,   1,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
