Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-ref                ,   1,   1,   1,   1,   1,   1,  4.542908,  3.749516,  6.918664,  3.749987,  3.749516,  6.918664
hdiff-cpu-unstr          ,   1,   1,   1,   1,   1,   1,  4.625432,  3.696222,  7.409078,  2.871334,  2.871223,  7.409078
hdiff-cuda               , 128, 128,   1,   2,   2,  64,  0.776721,  0.765422,  0.804381,  0.015448,  0.010824,  0.804381
hdiff-cuda               , 128, 256,   1,   2,   1,  64,  0.771957,  0.762372,  0.798291,  0.017478,  0.012228,  0.798291
hdiff-cuda               , 256, 128,   1,   1,   2,  64,  0.775860,  0.765516,  0.804811,  0.019645,  0.014191,  0.804811
hdiff-cuda               , 256, 256,   1,   1,   1,  64,  0.779415,  0.768855,  0.808075,  0.024688,  0.018951,  0.808075
hdiff-cuda-seq           , 128, 128,   1,   2,   2,  64,  0.786043,  0.776920,  0.811139,  0.024524,  0.019552,  0.811139
hdiff-cuda-seq           , 128, 256,   1,   2,   1,  64,  0.784313,  0.773711,  0.811999,  0.024919,  0.019994,  0.811999
hdiff-cuda-seq           , 256, 128,   1,   1,   2,  64,  0.782561,  0.772277,  0.810575,  0.025382,  0.020116,  0.810575
hdiff-cuda-seq           , 256, 256,   1,   1,   1,  64,  0.782674,  0.771217,  0.811626,  0.026271,  0.020561,  0.811626
hdiff-unstr-naive        , 128, 128,   1,   2,   2,  64,  0.941168,  0.900970,  1.057967,  0.068540,  0.034484,  1.057967
hdiff-unstr-naive        , 128, 256,   1,   2,   1,  64,  0.940727,  0.900069,  1.059727,  0.070650,  0.035921,  1.059727
hdiff-unstr-naive        , 256, 128,   1,   1,   2,  64,  0.949275,  0.909365,  1.067190,  0.076549,  0.042396,  1.067190
hdiff-unstr-naive        , 256, 256,   1,   1,   1,  64,  0.953127,  0.910959,  1.073518,  0.081322,  0.045762,  1.073518
hdiff-unstr-kloop        , 128, 128,   1,   2,   2,   1,  0.995393,  0.933288,  1.178104,  0.122553,  0.068121,  1.178104
hdiff-unstr-kloop        , 128, 256,   1,   2,   1,   1,  1.011406,  0.957803,  1.170245,  0.139005,  0.090881,  1.170245
hdiff-unstr-kloop        , 256, 128,   1,   1,   2,   1,  1.018270,  0.959475,  1.189573,  0.146290,  0.094206,  1.189573
hdiff-unstr-kloop        , 256, 256,   1,   1,   1,   1,  1.059819,  1.006842,  1.215564,  0.188277,  0.142398,  1.215564
hdiff-unstr-idxvar       , 128, 128,   1,   2,   2,   1,  0.990641,  0.927365,  1.171273,  0.122094,  0.067425,  1.171273
hdiff-unstr-idxvar       , 128, 256,   1,   2,   1,   1,  1.008849,  0.955717,  1.163403,  0.136994,  0.090630,  1.163403
hdiff-unstr-idxvar       , 256, 128,   1,   1,   2,   1,  1.017091,  0.958377,  1.189131,  0.145556,  0.093235,  1.189131
hdiff-unstr-idxvar       , 256, 256,   1,   1,   1,   1,  1.060878,  1.007714,  1.217163,  0.189911,  0.142397,  1.217163
