Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-ref                ,   1,   1,   1,   1,   1,   1, 15.818943, 15.603125, 18.730308, 15.660909, 15.603121, 18.730308
hdiff-cpu-unstr          ,   1,   1,   1,   1,   1,   1, 16.718634, 15.935041, 31.410151, 12.209827, 12.213527, 31.410151
hdiff-cuda               ,  32,  32,  64,  16,  16,   1,  3.761149,  3.753909,  3.845199,  0.041286,  0.038309,  3.845199
hdiff-cuda               ,  32,  64,  64,  16,   8,   1,  3.770311,  3.760305,  3.865431,  0.045122,  0.040975,  3.865431
hdiff-cuda               ,  32,  96,  64,  16,   6,   1,  3.771894,  3.763717,  3.867191,  0.045204,  0.041050,  3.867191
hdiff-cuda               ,  32, 128,  64,  16,   4,   1,  3.765165,  3.755246,  3.869409,  0.044924,  0.040461,  3.869409
hdiff-cuda               ,  64,  32,  64,   8,  16,   1,  3.784644,  3.766657,  3.881776,  0.047504,  0.042599,  3.881776
hdiff-cuda               ,  64,  64,  64,   8,   8,   1,  3.765474,  3.757924,  3.861201,  0.048696,  0.044862,  3.861201
hdiff-cuda               ,  64,  96,  64,   8,   6,   1,  3.778789,  3.770464,  3.871820,  0.049809,  0.045965,  3.871820
hdiff-cuda               ,  64, 128,  64,   8,   4,   1,  3.765770,  3.756685,  3.860941,  0.052879,  0.049029,  3.860941
hdiff-cuda               ,  96,  32,  64,   6,  16,   1,  3.789343,  3.780266,  3.898307,  0.050963,  0.047141,  3.898307
hdiff-cuda               ,  96,  64,  64,   6,   8,   1,  3.778886,  3.768674,  3.880229,  0.053607,  0.049626,  3.880229
hdiff-cuda               ,  96,  96,  64,   6,   6,   1,  3.801001,  3.791098,  3.907529,  0.058869,  0.054835,  3.907529
hdiff-cuda               ,  96, 128,  64,   6,   4,   1,  3.775145,  3.763441,  3.879049,  0.061448,  0.056717,  3.879049
hdiff-cuda               , 128,  32,  64,   4,  16,   1,  3.778038,  3.759417,  3.874780,  0.048495,  0.044332,  3.874780
hdiff-cuda               , 128,  64,  64,   4,   8,   1,  3.792210,  3.773865,  3.892371,  0.055224,  0.050313,  3.892371
hdiff-cuda               , 128,  96,  64,   4,   6,   1,  3.803665,  3.792989,  3.915421,  0.069032,  0.063745,  3.915421
hdiff-cuda               , 128, 128,  64,   4,   4,   1,  3.798777,  3.788797,  3.898372,  0.065997,  0.061300,  3.898372
hdiff-cuda-seq           ,  32,  32,  64,  16,  16,   1,  3.828983,  3.812855,  3.956376,  0.086187,  0.080148,  3.956376
hdiff-cuda-seq           ,  32,  64,  64,  16,   8,   1,  3.826973,  3.814705,  3.957538,  0.092252,  0.086413,  3.957538
hdiff-cuda-seq           ,  32,  96,  64,  16,   6,   1,  3.811741,  3.797816,  3.946527,  0.092973,  0.086486,  3.946527
hdiff-cuda-seq           ,  32, 128,  64,  16,   4,   1,  3.816649,  3.799288,  3.957470,  0.093236,  0.086578,  3.957470
hdiff-cuda-seq           ,  64,  32,  64,   8,  16,   1,  3.839064,  3.824418,  3.994416,  0.096251,  0.088617,  3.994416
hdiff-cuda-seq           ,  64,  64,  64,   8,   8,   1,  3.819879,  3.800928,  3.972707,  0.097783,  0.090699,  3.972707
hdiff-cuda-seq           ,  64,  96,  64,   8,   6,   1,  3.845493,  3.832354,  4.022299,  0.110331,  0.102036,  4.022299
hdiff-cuda-seq           ,  64, 128,  64,   8,   4,   1,  3.826761,  3.812602,  3.993352,  0.098848,  0.092964,  3.993352
hdiff-cuda-seq           ,  96,  32,  64,   6,  16,   1,  3.824962,  3.807427,  3.980372,  0.098491,  0.091394,  3.980372
hdiff-cuda-seq           ,  96,  64,  64,   6,   8,   1,  3.846198,  3.825441,  4.040747,  0.111899,  0.102588,  4.040747
hdiff-cuda-seq           ,  96,  96,  64,   6,   6,   1,  3.877561,  3.861445,  4.055898,  0.149634,  0.142516,  4.055898
hdiff-cuda-seq           ,  96, 128,  64,   6,   4,   1,  3.831096,  3.817000,  4.008862,  0.115523,  0.106889,  4.008862
hdiff-cuda-seq           , 128,  32,  64,   4,  16,   1,  3.836869,  3.821111,  3.984341,  0.097230,  0.091092,  3.984341
hdiff-cuda-seq           , 128,  64,  64,   4,   8,   1,  3.826066,  3.810522,  3.994361,  0.098279,  0.090333,  3.994361
hdiff-cuda-seq           , 128,  96,  64,   4,   6,   1,  3.850746,  3.831233,  4.064446,  0.123944,  0.113934,  4.064446
