Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-ref                ,   1,   1,   1,   1,   1,   1, 15.825980, 15.629072, 18.811112, 15.662935, 15.629072, 18.811112
hdiff-cpu-unstr          ,   1,   1,   1,   1,   1,   1, 16.914753, 16.125993, 31.591554, 12.409991, 12.417152, 31.591554
hdiff-cuda               ,  16,  16,   1,  32,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  16,  32,   1,  32,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  16,  48,   1,  32,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  16,  64,   1,  32,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  32,  16,   1,  16,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  32,  32,   1,  16,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  32,  48,   1,  16,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  32,  64,   1,  16,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  48,  16,   1,  11,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  48,  32,   1,  11,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  48,  48,   1,  11,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  48,  64,   1,  11,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  64,  16,   1,   8,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  64,  32,   1,   8,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  64,  48,   1,   8,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda               ,  64,  64,   1,   8,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  16,  16,   1,  32,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  16,  32,   1,  32,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  16,  48,   1,  32,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  16,  64,   1,  32,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  32,  16,   1,  16,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  32,  32,   1,  16,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  32,  48,   1,  16,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  32,  64,   1,  16,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  48,  16,   1,  11,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  48,  32,   1,  11,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  48,  48,   1,  11,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  48,  64,   1,  11,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  64,  16,   1,   8,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  64,  32,   1,   8,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  64,  48,   1,   8,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-cuda-seq           ,  64,  64,   1,   8,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  16,  16,   1,  32,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  16,  32,   1,  32,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  16,  48,   1,  32,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  16,  64,   1,  32,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  32,  16,   1,  16,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  32,  32,   1,  16,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  32,  48,   1,  16,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  32,  64,   1,  16,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  48,  16,   1,  11,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  48,  32,   1,  11,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  48,  48,   1,  11,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  48,  64,   1,  11,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  64,  16,   1,   8,  32,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  64,  32,   1,   8,  16,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  64,  48,   1,   8,  11,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-naive        ,  64,  64,   1,   8,   8,  64,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, (Error)
hdiff-unstr-kloop        ,  16,  16,   1,  32,  32,   1,  4.167764,  4.143366,  4.429333,  0.112764,  0.098294,  4.429333
hdiff-unstr-kloop        ,  16,  32,   1,  32,  16,   1,  4.167932,  4.144151,  4.434596,  0.112961,  0.097646,  4.434596
hdiff-unstr-kloop        ,  16,  48,   1,  32,  11,   1,  4.231332,  4.207262,  4.501973,  0.113814,  0.100291,  4.501973
hdiff-unstr-kloop        ,  16,  64,   1,  32,   8,   1,  4.177087,  4.157429,  4.426649,  0.113114,  0.101861,  4.426649
hdiff-unstr-kloop        ,  32,  16,   1,  16,  32,   1,  4.163206,  4.141585,  4.424760,  0.115471,  0.102227,  4.424760
hdiff-unstr-kloop        ,  32,  32,   1,  16,  16,   1,  4.201264,  4.174226,  4.456212,  0.113708,  0.100451,  4.456212
hdiff-unstr-kloop        ,  32,  48,   1,  16,  11,   1,  4.208786,  4.183735,  4.469472,  0.114088,  0.100448,  4.469472
hdiff-unstr-kloop        ,  32,  64,   1,  16,   8,   1,  4.160157,  4.136793,  4.430359,  0.112413,  0.099867,  4.430359
hdiff-unstr-kloop        ,  48,  16,   1,  11,  32,   1,  4.202201,  4.175030,  4.490162,  0.118373,  0.107758,  4.490162
hdiff-unstr-kloop        ,  48,  32,   1,  11,  16,   1,  4.182577,  4.149179,  4.449418,  0.118179,  0.109688,  4.449418
hdiff-unstr-kloop        ,  48,  48,   1,  11,  11,   1,  4.171989,  4.152691,  4.434101,  0.115997,  0.101569,  4.434101
hdiff-unstr-kloop        ,  48,  64,   1,  11,   8,   1,  4.164754,  4.143718,  4.417930,  0.116506,  0.103209,  4.417930
hdiff-unstr-kloop        ,  64,  16,   1,   8,  32,   1,  4.173686,  4.154045,  4.451423,  0.119289,  0.106096,  4.451423
hdiff-unstr-kloop        ,  64,  32,   1,   8,  16,   1,  4.171618,  4.147812,  4.432581,  0.114440,  0.101418,  4.432581
hdiff-unstr-kloop        ,  64,  48,   1,   8,  11,   1,  4.183689,  4.156033,  4.446501,  0.116711,  0.101702,  4.446501
hdiff-unstr-kloop        ,  64,  64,   1,   8,   8,   1,  4.178456,  4.154496,  4.458501,  0.114715,  0.101694,  4.458501
hdiff-unstr-idxvar       ,  16,  16,   1,  32,  32,   1,  4.178644,  4.157011,  4.431084,  0.112105,  0.102834,  4.431084
hdiff-unstr-idxvar       ,  16,  32,   1,  32,  16,   1,  4.165265,  4.142790,  4.420407,  0.113349,  0.102285,  4.420407
hdiff-unstr-idxvar       ,  16,  48,   1,  32,  11,   1,  4.176695,  4.155349,  4.444439,  0.113185,  0.101944,  4.444439
hdiff-unstr-idxvar       ,  16,  64,   1,  32,   8,   1,  4.166863,  4.142349,  4.422021,  0.113608,  0.099014,  4.422021
hdiff-unstr-idxvar       ,  32,  16,   1,  16,  32,   1,  4.172627,  4.144551,  4.431213,  0.113728,  0.099527,  4.431213
hdiff-unstr-idxvar       ,  32,  32,   1,  16,  16,   1,  4.168976,  4.149317,  4.420686,  0.113312,  0.101683,  4.420686
hdiff-unstr-idxvar       ,  32,  48,   1,  16,  11,   1,  4.173968,  4.153010,  4.437634,  0.114576,  0.099927,  4.437634
hdiff-unstr-idxvar       ,  32,  64,   1,  16,   8,   1,  4.170164,  4.142820,  4.430975,  0.111841,  0.102524,  4.430975
hdiff-unstr-idxvar       ,  48,  16,   1,  11,  32,   1,  4.171221,  4.148250,  4.443899,  0.117182,  0.103750,  4.443899
hdiff-unstr-idxvar       ,  48,  32,   1,  11,  16,   1,  4.183956,  4.161199,  4.439032,  0.117215,  0.105853,  4.439032
hdiff-unstr-idxvar       ,  48,  48,   1,  11,  11,   1,  4.164146,  4.138845,  4.430361,  0.115658,  0.100118,  4.430361
hdiff-unstr-idxvar       ,  48,  64,   1,  11,   8,   1,  4.180556,  4.159494,  4.442315,  0.116433,  0.105604,  4.442315
hdiff-unstr-idxvar       ,  64,  16,   1,   8,  32,   1,  4.176535,  4.155643,  4.454972,  0.117103,  0.104094,  4.454972
hdiff-unstr-idxvar       ,  64,  32,   1,   8,  16,   1,  4.176757,  4.157530,  4.449034,  0.113740,  0.098263,  4.449034
hdiff-unstr-idxvar       ,  64,  48,   1,   8,  11,   1,  4.177988,  4.156330,  4.441796,  0.115237,  0.106818,  4.441796
hdiff-unstr-idxvar       ,  64,  64,   1,   8,   8,   1,  4.171779,  4.150825,  4.442649,  0.114019,  0.101201,  4.442649
