Benchmark                   , Blocks     ,,, Threads    ,,, Total execution time         ,,, Kernel-only execution time     
                            ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-ref                   ,   1,   1,   1,   1,   1,   1,  4.025861,  3.883011,  4.399378,  4.007182,  3.883011,  4.399378
hdiff-unstr-cpu             ,   1,   1,   1,   1,   1,   1,  3.763514,  3.510028,  7.516515,  2.652274,  2.614373,  7.516515
hdiff-regular               , 256, 256,  64,   1,   1,   1,  1.084021,  1.071165,  1.116490,  0.072611,  0.069976,  1.116490
hdiff-regular               ,   8, 256,  64,  32,   1,   1,  1.031235,  1.011823,  1.079365,  0.019034,  0.015842,  1.079365
hdiff-regular               ,   8, 128,  64,  32,   2,   1,  1.029244,  1.019648,  1.056684,  0.018380,  0.016130,  1.056684
hdiff-regular               ,   8,  64,  64,  32,   4,   1,  1.025711,  1.010571,  1.044307,  0.018761,  0.017885,  1.044307
hdiff-regular               ,   8,  32,  64,  32,   8,   1,  1.021773,  1.001790,  1.042459,  0.018123,  0.016285,  1.042459
hdiff-regular               ,   8,  16,  64,  32,  16,   1,  1.030143,  1.008726,  1.047598,  0.017515,  0.015201,  1.047598
hdiff-regular               ,   8,   8,  64,  32,  32,   1,  1.036767,  1.018549,  1.058309,  0.016768,  0.017622,  1.058309
hdiff-regular-kloop         , 256, 256,   1,   1,   1,   1,  1.080548,  1.068717,  1.152177,  0.072980,  0.069085,  1.152177
hdiff-regular-kloop         ,   8, 256,   1,  32,   1,   1,  1.030913,  1.011889,  1.058961,  0.020845,  0.016955,  1.058961
hdiff-regular-kloop         ,   8, 128,   1,  32,   2,   1,  1.028583,  1.015432,  1.091126,  0.021024,  0.023063,  1.091126
hdiff-regular-kloop         ,   8,  64,   1,  32,   4,   1,  1.028149,  1.014657,  1.061916,  0.021860,  0.021720,  1.061916
hdiff-regular-kloop         ,   8,  32,   1,  32,   8,   1,  1.032118,  1.018295,  1.064806,  0.021102,  0.015225,  1.064806
hdiff-regular-kloop         ,   8,  16,   1,  32,  16,   1,  1.027537,  1.009568,  1.065401,  0.018819,  0.013817,  1.065401
