Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-ref                ,   1,   1,   1,   1,   1,   1,  3.737439,  3.673748,  4.065093,  3.719379,  3.673748,  4.065093
hdiff-cpu-unstr          ,   1,   1,   1,   1,   1,   1,  3.365127,  3.134044,  7.136426,  2.512089,  2.497368,  7.136426
hdiff-cuda               , 256, 256,  64,   1,   1,   1,  4.167623,  4.156786,  4.236527,  3.437215,  3.434285,  4.236527
hdiff-cuda               ,   8, 256,  64,  32,   1,   1,  0.842065,  0.830205,  0.859849,  0.113587,  0.113309,  0.859849
hdiff-cuda               , 256, 256,   2,   1,   1,  32,  0.837229,  0.828405,  0.849777,  0.112734,  0.111808,  0.849777
hdiff-cuda               ,   4, 256,  64,  64,   1,   1,  0.839667,  0.827649,  0.847899,  0.113958,  0.113296,  0.847899
hdiff-cuda               ,   3, 256,  64,  96,   1,   1,  0.839288,  0.828454,  0.853281,  0.114023,  0.113723,  0.853281
hdiff-cuda               ,   2, 256,  64, 128,   1,   1,  0.840932,  0.829923,  0.852839,  0.115333,  0.114844,  0.852839
hdiff-cuda               ,   2, 256,  64, 160,   1,   1,  0.850058,  0.844746,  0.856345,  0.115047,  0.114414,  0.856345
hdiff-cuda               ,   2, 256,  64, 192,   1,   1,  0.839501,  0.831222,  0.857177,  0.113616,  0.112568,  0.857177
hdiff-cuda               ,   2, 256,  64, 224,   1,   1,  0.843108,  0.833983,  0.867794,  0.117134,  0.116184,  0.867794
hdiff-cuda               ,   1, 256,  64, 256,   1,   1,  0.838896,  0.827624,  0.858851,  0.114634,  0.113821,  0.858851
hdiff-cuda               ,   1, 256,  64, 288,   1,   1,  0.841551,  0.833445,  0.858593,  0.119509,  0.118838,  0.858593
hdiff-cuda               ,   1, 256,  64, 320,   1,   1,  0.847227,  0.837790,  0.861024,  0.119986,  0.119122,  0.861024
hdiff-cuda               ,   1, 256,  64, 352,   1,   1,  0.847179,  0.838314,  0.861342,  0.121568,  0.120913,  0.861342
hdiff-cuda               ,   1, 256,  64, 384,   1,   1,  0.842081,  0.833500,  0.858712,  0.121708,  0.121132,  0.858712
hdiff-cuda               ,   1, 256,  64, 416,   1,   1,  0.841793,  0.826646,  0.852791,  0.120550,  0.119266,  0.852791
hdiff-cuda               ,   1, 256,  64, 448,   1,   1,  0.841410,  0.833007,  0.854735,  0.121165,  0.120063,  0.854735
hdiff-cuda               ,   1, 256,  64, 480,   1,   1,  0.845441,  0.835656,  0.876265,  0.121640,  0.120719,  0.876265
hdiff-cuda               ,   2, 256,  16, 128,   1,   4,  0.835422,  0.829862,  0.858703,  0.115876,  0.115074,  0.858703
hdiff-cuda               ,   1, 256,  64, 512,   1,   1,  0.843395,  0.835696,  0.866163,  0.122023,  0.121063,  0.866163
hdiff-cuda               ,   8, 256,   4,  32,   1,  16,  0.835909,  0.829209,  0.848466,  0.116145,  0.115556,  0.848466
hdiff-cuda-seq           , 256, 256,  64,   1,   1,   1,  3.990082,  3.977746,  4.039574,  3.267634,  3.266596,  4.039574
hdiff-cuda-seq           ,   8, 256,  64,  32,   1,   1,  0.862629,  0.848866,  0.895027,  0.132404,  0.130372,  0.895027
hdiff-cuda-seq           , 256, 256,   2,   1,   1,  32,  0.849195,  0.838258,  0.866485,  0.126441,  0.124737,  0.866485
hdiff-cuda-seq           ,   4, 256,  64,  64,   1,   1,  0.861996,  0.850218,  0.897027,  0.132665,  0.130831,  0.897027
hdiff-cuda-seq           ,   3, 256,  64,  96,   1,   1,  0.864390,  0.853380,  0.897701,  0.138493,  0.136428,  0.897701
hdiff-cuda-seq           ,   2, 256,  64, 128,   1,   1,  0.859238,  0.851865,  0.893739,  0.133085,  0.131028,  0.893739
hdiff-cuda-seq           ,   2, 256,  64, 160,   1,   1,  0.864603,  0.848676,  0.906230,  0.141963,  0.140086,  0.906230
hdiff-cuda-seq           ,   2, 256,  64, 192,   1,   1,  0.883845,  0.870857,  0.920493,  0.158817,  0.156692,  0.920493
hdiff-cuda-seq           ,   2, 256,  64, 224,   1,   1,  0.906199,  0.894820,  0.943165,  0.181576,  0.179504,  0.943165
hdiff-cuda-seq           ,   1, 256,  64, 256,   1,   1,  0.864565,  0.855919,  0.894677,  0.137167,  0.135282,  0.894677
hdiff-cuda-seq           ,   1, 256,  64, 288,   1,   1,  0.871407,  0.861725,  0.906386,  0.139762,  0.137793,  0.906386
hdiff-cuda-seq           ,   1, 256,  64, 320,   1,   1,  0.865733,  0.854739,  0.904419,  0.142605,  0.140226,  0.904419
hdiff-cuda-seq           ,   1, 256,  64, 352,   1,   1,  0.905714,  0.897694,  0.936422,  0.182995,  0.182796,  0.936422
hdiff-cuda-seq           ,   1, 256,  64, 384,   1,   1,  0.897716,  0.891605,  0.933351,  0.177154,  0.176000,  0.933351
hdiff-cuda-seq           ,   1, 256,  64, 416,   1,   1,  0.912246,  0.895348,  0.962635,  0.187310,  0.185170,  0.962635
hdiff-cuda-seq           ,   1, 256,  64, 448,   1,   1,  0.908822,  0.898793,  0.941918,  0.187276,  0.184844,  0.941918
hdiff-cuda-seq           ,   1, 256,  64, 480,   1,   1,  0.913698,  0.908539,  0.952866,  0.193171,  0.190694,  0.952866
hdiff-cuda-seq           ,   2, 256,  16, 128,   1,   4,  0.860015,  0.848382,  0.892173,  0.139538,  0.138417,  0.892173
hdiff-cuda-seq           ,   1, 256,  64, 512,   1,   1,  0.911538,  0.901799,  0.954716,  0.192849,  0.190342,  0.954716
hdiff-cuda-seq           ,   8, 256,   4,  32,   1,  16,  0.851785,  0.843105,  0.873426,  0.134796,  0.134213,  0.873426
hdiff-unstr-naive        , 256, 256,  64,   1,   1,   1, 10.149250, 10.139564, 10.220859,  9.501594,  9.495769, 10.220859
hdiff-unstr-naive        ,   8, 256,  64,  32,   1,   1,  0.956510,  0.944700,  1.027012,  0.306873,  0.302752,  1.027012
hdiff-unstr-naive        , 256, 256,   2,   1,   1,  32,  0.944758,  0.936104,  0.959268,  0.300550,  0.300186,  0.959268
hdiff-unstr-naive        ,   4, 256,  64,  64,   1,   1,  0.958863,  0.946957,  1.022358,  0.307146,  0.302856,  1.022358
hdiff-unstr-naive        ,   3, 256,  64,  96,   1,   1,  0.962826,  0.954922,  0.974347,  0.309443,  0.309251,  0.974347
hdiff-unstr-naive        ,   2, 256,  64, 128,   1,   1,  0.963830,  0.950972,  1.039728,  0.309057,  0.304833,  1.039728
hdiff-unstr-naive        ,   2, 256,  64, 160,   1,   1,  0.965257,  0.957189,  0.974552,  0.312307,  0.312067,  0.974552
hdiff-unstr-naive        ,   2, 256,  64, 192,   1,   1,  0.958822,  0.946240,  1.007159,  0.306681,  0.303896,  1.007159
hdiff-unstr-naive        ,   2, 256,  64, 224,   1,   1,  0.967888,  0.958950,  0.976025,  0.315224,  0.314809,  0.976025
hdiff-unstr-naive        ,   1, 256,  64, 256,   1,   1,  0.962088,  0.950226,  1.031919,  0.309281,  0.305911,  1.031919
hdiff-unstr-naive        ,   1, 256,  64, 288,   1,   1,  0.957427,  0.950946,  0.970277,  0.306571,  0.306101,  0.970277
hdiff-unstr-naive        ,   1, 256,  64, 320,   1,   1,  0.967746,  0.953222,  1.020455,  0.317360,  0.314494,  1.020455
hdiff-unstr-naive        ,   1, 256,  64, 352,   1,   1,  0.957675,  0.950115,  0.969683,  0.311153,  0.309741,  0.969683
hdiff-unstr-naive        ,   1, 256,  64, 384,   1,   1,  0.955942,  0.946824,  1.023268,  0.312466,  0.309068,  1.023268
hdiff-unstr-naive        ,   1, 256,  64, 416,   1,   1,  0.957851,  0.949722,  0.968406,  0.309889,  0.309433,  0.968406
hdiff-unstr-naive        ,   1, 256,  64, 448,   1,   1,  0.957256,  0.949905,  1.001426,  0.311681,  0.309023,  1.001426
hdiff-unstr-naive        ,   1, 256,  64, 480,   1,   1,  1.000232,  0.992372,  1.040161,  0.353391,  0.352363,  1.040161
hdiff-unstr-naive        ,   2, 256,  16, 128,   1,   4,  0.969700,  0.957632,  1.033886,  0.319515,  0.316409,  1.033886
hdiff-unstr-naive        ,   1, 256,  64, 512,   1,   1,  1.003451,  0.994020,  1.034423,  0.354766,  0.353779,  1.034423
hdiff-unstr-naive        ,   8, 256,   4,  32,   1,  16,  0.968213,  0.957333,  1.029354,  0.317938,  0.314815,  1.029354
hdiff-unstr-kloop        , 256, 256,   1,   1,   1,   1, 10.171039, 10.160945, 10.187282,  9.523417,  9.524979, 10.187282
hdiff-unstr-kloop        ,   8, 256,   1,  32,   1,   1,  1.003288,  0.993990,  1.066215,  0.340637,  0.338325,  1.066215
hdiff-unstr-kloop        ,   4, 256,   1,  64,   1,   1,  0.985764,  0.976206,  0.997677,  0.339375,  0.338189,  0.997677
hdiff-unstr-kloop        ,   3, 256,   1,  96,   1,   1,  1.020494,  1.003973,  1.091702,  0.378405,  0.375141,  1.091702
hdiff-unstr-kloop        ,   2, 256,   1, 128,   1,   1,  0.984733,  0.974940,  0.998029,  0.339440,  0.338301,  0.998029
hdiff-unstr-kloop        ,   2, 256,   1, 160,   1,   1,  1.007982,  0.994171,  1.071993,  0.360171,  0.360838,  1.071993
hdiff-unstr-kloop        ,   2, 256,   1, 192,   1,   1,  0.983529,  0.970413,  0.990514,  0.337821,  0.340302,  0.990514
hdiff-unstr-kloop        ,   2, 256,   1, 224,   1,   1,  1.001912,  0.981751,  1.058584,  0.354185,  0.351869,  1.058584
hdiff-unstr-kloop        ,   1, 256,   1, 256,   1,   1,  1.014491,  0.971777,  1.043484,  0.366605,  0.368710,  1.043484
hdiff-unstr-kloop        ,   1, 256,   1, 288,   1,   1,  1.027976,  1.008381,  1.113117,  0.376357,  0.371797,  1.113117
hdiff-unstr-kloop        ,   1, 256,   1, 320,   1,   1,  0.988652,  0.982243,  0.997456,  0.341103,  0.343068,  0.997456
hdiff-unstr-kloop        ,   1, 256,   1, 352,   1,   1,  0.993876,  0.972890,  1.055921,  0.345351,  0.339448,  1.055921
hdiff-unstr-kloop        ,   1, 256,   1, 384,   1,   1,  0.989402,  0.970728,  1.004333,  0.340784,  0.343546,  1.004333
hdiff-unstr-kloop        ,   1, 256,   1, 416,   1,   1,  0.993126,  0.979743,  1.061941,  0.346796,  0.343535,  1.061941
hdiff-unstr-kloop        ,   1, 256,   1, 448,   1,   1,  0.991188,  0.984043,  1.007505,  0.344109,  0.343083,  1.007505
hdiff-unstr-kloop        ,   1, 256,   1, 480,   1,   1,  1.006672,  0.995665,  1.087124,  0.358871,  0.354765,  1.087124
hdiff-unstr-kloop        ,   1, 256,   1, 512,   1,   1,  1.000196,  0.992758,  1.022457,  0.355798,  0.354596,  1.022457
hdiff-unstr-idxvar       , 256, 256,   1,   1,   1,   1,  2.258497,  2.241696,  2.322082,  1.607388,  1.604153,  2.322082
hdiff-unstr-idxvar       ,   8, 256,   1,  32,   1,   1,  0.717030,  0.707423,  0.764666,  0.068466,  0.066563,  0.764666
hdiff-unstr-idxvar       ,   4, 256,   1,  64,   1,   1,  0.714743,  0.702354,  0.749669,  0.065916,  0.063874,  0.749669
hdiff-unstr-idxvar       ,   3, 256,   1,  96,   1,   1,  0.723235,  0.715588,  0.758640,  0.075066,  0.073910,  0.758640
hdiff-unstr-idxvar       ,   2, 256,   1, 128,   1,   1,  0.715125,  0.706948,  0.746309,  0.066159,  0.064025,  0.746309
hdiff-unstr-idxvar       ,   2, 256,   1, 160,   1,   1,  0.719197,  0.711376,  0.756374,  0.071798,  0.068724,  0.756374
hdiff-unstr-idxvar       ,   2, 256,   1, 192,   1,   1,  0.720175,  0.711137,  0.755742,  0.067583,  0.066187,  0.755742
hdiff-unstr-idxvar       ,   2, 256,   1, 224,   1,   1,  0.730779,  0.718542,  0.762315,  0.069179,  0.064081,  0.762315
hdiff-unstr-idxvar       ,   1, 256,   1, 256,   1,   1,  0.714591,  0.703470,  0.734774,  0.074581,  0.074957,  0.734774
hdiff-unstr-idxvar       ,   1, 256,   1, 288,   1,   1,  0.726350,  0.716239,  0.762334,  0.076769,  0.072655,  0.762334
hdiff-unstr-idxvar       ,   1, 256,   1, 320,   1,   1,  0.711869,  0.700959,  0.737557,  0.068254,  0.066432,  0.737557
hdiff-unstr-idxvar       ,   1, 256,   1, 352,   1,   1,  0.711365,  0.704190,  0.747685,  0.069307,  0.066693,  0.747685
hdiff-unstr-idxvar       ,   1, 256,   1, 384,   1,   1,  0.716936,  0.706963,  0.740712,  0.069894,  0.068886,  0.740712
hdiff-unstr-idxvar       ,   1, 256,   1, 416,   1,   1,  0.716453,  0.705469,  0.754934,  0.071590,  0.068921,  0.754934
hdiff-unstr-idxvar       ,   1, 256,   1, 448,   1,   1,  0.710875,  0.703290,  0.729307,  0.070650,  0.068891,  0.729307
hdiff-unstr-idxvar       ,   1, 256,   1, 480,   1,   1,  0.742944,  0.731388,  0.792488,  0.100485,  0.097341,  0.792488
hdiff-unstr-idxvar       ,   1, 256,   1, 512,   1,   1,  0.746117,  0.736227,  0.789138,  0.099244,  0.097346,  0.789138
hdiff-unstr-seq          , 256, 256,  64,   1,   1,   1,  8.758951,  8.743689,  8.851715,  8.110208,  8.103773,  8.851715
hdiff-unstr-seq          ,   8, 256,  64,  32,   1,   1,  0.921691,  0.902971,  0.997072,  0.270794,  0.266914,  0.997072
hdiff-unstr-seq          , 256, 256,   2,   1,   1,  32,  0.911121,  0.903449,  0.930018,  0.261955,  0.260671,  0.930018
hdiff-unstr-seq          ,   4, 256,  64,  64,   1,   1,  0.928903,  0.912087,  0.986722,  0.270645,  0.269123,  0.986722
hdiff-unstr-seq          ,   3, 256,  64,  96,   1,   1,  0.927620,  0.920424,  0.963717,  0.280586,  0.280004,  0.963717
