Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-ref                ,   1,   1,   1,   1,   1,   1,  0.923973,  0.893831,  1.269130,  0.905795,  0.893831,  1.269130
hdiff-cpu-unstr          ,   1,   1,   1,   1,   1,   1,  0.739895,  0.681184,  1.613174,  0.592378,  0.588004,  1.613174
hdiff-cuda               , 128, 128,  64,   1,   1,   1,  0.961493,  0.954368,  1.029013,  0.835545,  0.832502,  1.029013
hdiff-cuda               , 128, 128,   1,   1,   1,  64,  0.144537,  0.140487,  0.150179,  0.029003,  0.032518,  0.150179
hdiff-cuda               ,   1, 128,  64, 128,   1,   1,  0.149009,  0.135635,  0.168646,  0.033730,  0.033507,  0.168646
hdiff-cuda               ,   4, 128,  16,  32,   1,   4,  0.148527,  0.141179,  0.155998,  0.034840,  0.036318,  0.155998
hdiff-cuda               ,   4,   8,  64,  32,  16,   1,  0.147623,  0.140987,  0.156303,  0.035806,  0.035664,  0.156303
hdiff-cuda               ,   4, 128,   4,  32,   1,  16,  0.151200,  0.146850,  0.155406,  0.036793,  0.036594,  0.155406
hdiff-cuda-seq           , 128, 128,  64,   1,   1,   1,  0.921698,  0.916101,  0.960135,  0.797106,  0.794553,  0.960135
hdiff-cuda-seq           , 128, 128,   1,   1,   1,  64,  0.145103,  0.139618,  0.153508,  0.031416,  0.031220,  0.153508
hdiff-cuda-seq           ,   1, 128,  64, 128,   1,   1,  0.144833,  0.139444,  0.157919,  0.034117,  0.033576,  0.157919
hdiff-cuda-seq           ,   4, 128,  16,  32,   1,   4,  0.145140,  0.136569,  0.159099,  0.033887,  0.033592,  0.159099
hdiff-cuda-seq           ,   4,   8,  64,  32,  16,   1,  0.149321,  0.141093,  0.161615,  0.035691,  0.035336,  0.161615
hdiff-cuda-seq           ,   4, 128,   4,  32,   1,  16,  0.149934,  0.140419,  0.159662,  0.035172,  0.034648,  0.159662
hdiff-unstr-naive        , 128, 128,  64,   1,   1,   1,  2.403137,  2.397877,  2.408234,  2.292364,  2.292353,  2.408234
hdiff-unstr-naive        , 128, 128,   1,   1,   1,  64,  0.177131,  0.168418,  0.186488,  0.073435,  0.073258,  0.186488
hdiff-unstr-naive        ,   1, 128,  64, 128,   1,   1,  0.182306,  0.179124,  0.188032,  0.075375,  0.075246,  0.188032
hdiff-unstr-naive        ,   4, 128,  16,  32,   1,   4,  0.179721,  0.171781,  0.196102,  0.076492,  0.075330,  0.196102
hdiff-unstr-naive        ,   4,   8,  64,  32,  16,   1,  0.184929,  0.178176,  0.193296,  0.078102,  0.077929,  0.193296
hdiff-unstr-naive        ,   4, 128,   4,  32,   1,  16,  0.180894,  0.174097,  0.187053,  0.077796,  0.077554,  0.187053
hdiff-unstr-kloop        , 128, 128,   1,   1,   1,   1,  2.435102,  2.429386,  2.446647,  2.322595,  2.327699,  2.446647
hdiff-unstr-kloop        ,   1, 128,   1, 128,   1,   1,  0.185974,  0.181297,  0.195678,  0.084146,  0.084128,  0.195678
hdiff-unstr-kloop        ,   4,   8,   1,  32,  16,   1,  0.199491,  0.192136,  0.207650,  0.098791,  0.098315,  0.207650
hdiff-unstr-idxvar       , 128, 128,   1,   1,   1,   1,  0.503510,  0.496982,  0.514548,  0.395162,  0.394618,  0.514548
hdiff-unstr-idxvar       ,   1, 128,   1, 128,   1,   1,  0.122244,  0.111418,  0.129886,  0.018252,  0.018486,  0.129886
hdiff-unstr-idxvar       ,   4,   8,   1,  32,  16,   1,  0.122464,  0.116800,  0.129487,  0.024736,  0.024753,  0.129487
hdiff-unstr-seq          , 128, 128,  64,   1,   1,   1,  2.087045,  2.080650,  2.151472,  1.975665,  1.971471,  2.151472
hdiff-unstr-seq          , 128, 128,   1,   1,   1,  64,  0.163471,  0.152990,  0.169193,  0.065070,  0.064773,  0.169193
hdiff-unstr-seq          ,   1, 128,  64, 128,   1,   1,  0.167677,  0.161927,  0.176927,  0.067981,  0.067486,  0.176927
hdiff-unstr-seq          ,   4, 128,  16,  32,   1,   4,  0.167741,  0.161625,  0.177814,  0.068034,  0.067588,  0.177814
hdiff-unstr-seq          ,   4,   8,  64,  32,  16,   1,  0.175888,  0.171222,  0.191958,  0.075672,  0.075284,  0.191958
hdiff-unstr-seq          ,   4, 128,   4,  32,   1,  16,  0.175915,  0.170105,  0.187085,  0.074802,  0.074495,  0.187085
