./gridbenchmark --no-verify --size 256x256x64 --threads 1x1x1 32x1x1 64x1x1 128x1x1 192x1x1 256x1x1 320x1x1 384x1x1 448x1x1 512x1x1 32x1x16 8x1x64 all 
Benchmark                   , Domain size,,, Blocks     ,,, Threads    ,,, Total execution time         ,,, Kernel-only execution time     
                            ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-regular               , 256, 256,  64, 256, 256,  64,   1,   1,   1,  0.060481,  0.058389,  0.071159,  0.060472,  0.058389,  0.071159
hdiff-regular               , 256, 256,  64,   8, 256,  64,  32,   1,   1,  0.002346,  0.002343,  0.002368,  0.002346,  0.002343,  0.002368
hdiff-regular               , 256, 256,  64,   4, 256,  64,  64,   1,   1,  0.002305,  0.002273,  0.002867,  0.002305,  0.002273,  0.002867
hdiff-regular               , 256, 256,  64,   2, 256,  64, 128,   1,   1,  0.002274,  0.002272,  0.002296,  0.002274,  0.002272,  0.002296
hdiff-regular               , 256, 256,  64,   2, 256,  64, 192,   1,   1,  0.002281,  0.002278,  0.002296,  0.002280,  0.002278,  0.002296
hdiff-regular               , 256, 256,  64,   1, 256,  64, 256,   1,   1,  0.002274,  0.002272,  0.002288,  0.002274,  0.002272,  0.002288
hdiff-regular               , 256, 256,  64,   1, 256,  64, 320,   1,   1,  0.002339,  0.002274,  0.003519,  0.002339,  0.002274,  0.003519
hdiff-regular               , 256, 256,  64,   1, 256,  64, 384,   1,   1,  0.002280,  0.002276,  0.002298,  0.002279,  0.002276,  0.002298
hdiff-regular               , 256, 256,  64,   1, 256,  64, 448,   1,   1,  0.002280,  0.002277,  0.002292,  0.002280,  0.002277,  0.002292
hdiff-regular               , 256, 256,  64,   1, 256,  64, 512,   1,   1,  0.002281,  0.002279,  0.002297,  0.002281,  0.002279,  0.002297
hdiff-regular               , 256, 256,  64,   8, 256,   4,  32,   1,  16,  0.002276,  0.002274,  0.002289,  0.002276,  0.002274,  0.002289
hdiff-regular               , 256, 256,  64,  32, 256,   1,   8,   1,  64,  0.002316,  0.002276,  0.003022,  0.002315,  0.002276,  0.003022
hdiff-regular-kloop         , 256, 256,  64, 256, 256,   1,   1,   1,   1,  0.060301,  0.057884,  0.070714,  0.060300,  0.057884,  0.070714
hdiff-regular-kloop         , 256, 256,  64,   8, 256,   1,  32,   1,   1,  0.001947,  0.001904,  0.002474,  0.001947,  0.001904,  0.002474
hdiff-regular-kloop         , 256, 256,  64,   4, 256,   1,  64,   1,   1,  0.001969,  0.001905,  0.002005,  0.001969,  0.001905,  0.002005
hdiff-regular-kloop         , 256, 256,  64,   2, 256,   1, 128,   1,   1,  0.002518,  0.002389,  0.003500,  0.002518,  0.002389,  0.003500
hdiff-regular-kloop         , 256, 256,  64,   2, 256,   1, 192,   1,   1,  0.002641,  0.002571,  0.002764,  0.002640,  0.002571,  0.002764
hdiff-regular-kloop         , 256, 256,  64,   1, 256,   1, 256,   1,   1,  0.002237,  0.002145,  0.002311,  0.002237,  0.002145,  0.002311
hdiff-regular-kloop         , 256, 256,  64,   1, 256,   1, 320,   1,   1,  0.002445,  0.002283,  0.002606,  0.002445,  0.002283,  0.002606
hdiff-regular-kloop         , 256, 256,  64,   1, 256,   1, 384,   1,   1,  0.002332,  0.002282,  0.002447,  0.002332,  0.002282,  0.002447
hdiff-regular-kloop         , 256, 256,  64,   1, 256,   1, 448,   1,   1,  0.002309,  0.002282,  0.002464,  0.002309,  0.002282,  0.002464
hdiff-regular-kloop         , 256, 256,  64,   1, 256,   1, 512,   1,   1,  0.002312,  0.002310,  0.002331,  0.002312,  0.002310,  0.002331
hdiff-regular-idxvar        , 256, 256,  64, 256, 256,   1,   1,   1,   1,  0.058691,  0.057884,  0.067497,  0.058690,  0.057883,  0.067497
hdiff-regular-idxvar        , 256, 256,  64,   8, 256,   1,  32,   1,   1,  0.001944,  0.001919,  0.001981,  0.001944,  0.001919,  0.001981
hdiff-regular-idxvar        , 256, 256,  64,   4, 256,   1,  64,   1,   1,  0.002005,  0.001978,  0.002067,  0.002005,  0.001978,  0.002067
hdiff-regular-idxvar        , 256, 256,  64,   2, 256,   1, 128,   1,   1,  0.001993,  0.001924,  0.002053,  0.001992,  0.001924,  0.002053
