Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-unstr-naive        ,  64,  64,   1,   4,   4,  64,  1.137003,  0.917397,  5.053395,  0.040827,  0.030920,  5.053395
hdiff-unstr-naive        ,  64, 128,   1,   4,   2,  64,  0.940160,  0.922464,  1.062027,  0.039291,  0.030720,  1.062027
hdiff-unstr-naive        ,  64, 192,   1,   4,   2,  64,  0.931685,  0.915866,  1.061176,  0.037809,  0.031190,  1.061176
hdiff-unstr-naive        ,  64, 256,   1,   4,   1,  64,  0.934190,  0.920733,  1.065909,  0.038281,  0.031560,  1.065909
hdiff-unstr-naive        , 128,  64,   1,   2,   4,  64,  0.948751,  0.924381,  1.223288,  0.048568,  0.034452,  1.223288
hdiff-unstr-naive        , 128, 128,   1,   2,   2,  64,  0.942502,  0.922411,  1.068909,  0.044251,  0.035048,  1.068909
hdiff-unstr-naive        , 128, 192,   1,   2,   2,  64,  0.932649,  0.914374,  1.070436,  0.044396,  0.035664,  1.070436
hdiff-unstr-naive        , 128, 256,   1,   2,   1,  64,  0.946369,  0.921367,  1.108929,  0.045384,  0.036029,  1.108929
hdiff-unstr-naive        , 192,  64,   1,   2,   4,  64,  0.953028,  0.926560,  1.106809,  0.045757,  0.035390,  1.106809
hdiff-unstr-naive        , 192, 128,   1,   2,   2,  64,  0.911449,  0.900940,  1.065861,  0.042412,  0.035587,  1.065861
hdiff-unstr-naive        , 192, 192,   1,   2,   2,  64,  0.909721,  0.898988,  1.066094,  0.043571,  0.036797,  1.066094
hdiff-unstr-naive        , 192, 256,   1,   2,   1,  64,  0.911808,  0.899341,  1.066178,  0.043835,  0.036710,  1.066178
hdiff-unstr-naive        , 256,  64,   1,   1,   4,  64,  0.911819,  0.899037,  1.070201,  0.047067,  0.039978,  1.070201
hdiff-unstr-naive        , 256, 128,   1,   1,   2,  64,  0.915385,  0.902925,  1.073974,  0.049377,  0.042773,  1.073974
hdiff-unstr-naive        , 256, 192,   1,   1,   2,  64,  0.915765,  0.904427,  1.076548,  0.050280,  0.042724,  1.076548
hdiff-unstr-naive        , 256, 256,   1,   1,   1,  64,  0.915784,  0.904487,  1.073943,  0.053203,  0.045760,  1.073943
