Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-unstr-idxvar       ,  64,  64,   1,   4,   4,   1,  1.106873,  0.898818,  5.005011,  0.049474,  0.038046,  5.005011
hdiff-unstr-idxvar       ,  64, 128,   1,   4,   2,   1,  0.934587,  0.918765,  1.144365,  0.057968,  0.048471,  1.144365
hdiff-unstr-idxvar       ,  64, 192,   1,   4,   2,   1,  0.930739,  0.916749,  1.143438,  0.058711,  0.049488,  1.143438
hdiff-unstr-idxvar       ,  64, 256,   1,   4,   1,   1,  0.952674,  0.931690,  1.178813,  0.073592,  0.063502,  1.178813
hdiff-unstr-idxvar       , 128,  64,   1,   2,   4,   1,  0.938213,  0.921887,  1.166343,  0.064026,  0.053704,  1.166343
hdiff-unstr-idxvar       , 128, 128,   1,   2,   2,   1,  0.949819,  0.929795,  1.179427,  0.077828,  0.066803,  1.179427
hdiff-unstr-idxvar       , 128, 192,   1,   2,   2,   1,  0.958163,  0.936638,  1.202813,  0.079290,  0.083775,  1.202813
hdiff-unstr-idxvar       , 128, 256,   1,   2,   1,   1,  1.019274,  0.988922,  1.303041,  0.104776,  0.090946,  1.303041
hdiff-unstr-idxvar       , 192,  64,   1,   2,   4,   1,  0.969320,  0.942114,  1.170971,  0.067036,  0.055047,  1.170971
hdiff-unstr-idxvar       , 192, 128,   1,   2,   2,   1,  0.968177,  0.950220,  1.187720,  0.078245,  0.067211,  1.187720
hdiff-unstr-idxvar       , 192, 192,   1,   2,   2,   1,  0.975039,  0.954546,  1.194708,  0.078619,  0.067685,  1.194708
hdiff-unstr-idxvar       , 192, 256,   1,   2,   1,   1,  1.018428,  0.984195,  1.407061,  0.113395,  0.091190,  1.407061
hdiff-unstr-idxvar       , 256,  64,   1,   1,   4,   1,  0.993738,  0.965919,  1.221399,  0.091869,  0.076333,  1.221399
hdiff-unstr-idxvar       , 256, 128,   1,   1,   2,   1,  1.009753,  0.979595,  1.199413,  0.106345,  0.093131,  1.199413
hdiff-unstr-idxvar       , 256, 192,   1,   1,   2,   1,  1.019203,  0.988038,  1.200910,  0.106593,  0.093397,  1.200910
hdiff-unstr-idxvar       , 256, 256,   1,   1,   1,   1,  1.070680,  1.033538,  1.279172,  0.155836,  0.141774,  1.279172
