Benchmark                , Blocks       , Threads      , Total execution time           , Kernel-only execution time     
                         ,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-unstr-kloop        ,  64,  64,   1,   4,   4,   1,  1.087921,  0.885327,  4.841381,  0.046873,  0.038537,  4.841381
hdiff-unstr-kloop        ,  64, 128,   1,   4,   2,   1,  0.918711,  0.904560,  1.125882,  0.058896,  0.048585,  1.125882
hdiff-unstr-kloop        ,  64, 192,   1,   4,   2,   1,  0.920085,  0.906593,  1.124483,  0.058574,  0.048430,  1.124483
hdiff-unstr-kloop        ,  64, 256,   1,   4,   1,   1,  0.933115,  0.919390,  1.145894,  0.073530,  0.064263,  1.145894
hdiff-unstr-kloop        , 128,  64,   1,   2,   4,   1,  0.924061,  0.910022,  1.145927,  0.064298,  0.053732,  1.145927
hdiff-unstr-kloop        , 128, 128,   1,   2,   2,   1,  0.936744,  0.922328,  1.162529,  0.078552,  0.067807,  1.162529
hdiff-unstr-kloop        , 128, 192,   1,   2,   2,   1,  0.940250,  0.926374,  1.170168,  0.078804,  0.068413,  1.170168
hdiff-unstr-kloop        , 128, 256,   1,   2,   1,   1,  0.961442,  0.947622,  1.162901,  0.100440,  0.091234,  1.162901
hdiff-unstr-kloop        , 192,  64,   1,   2,   4,   1,  0.925511,  0.909869,  1.147996,  0.064253,  0.053554,  1.147996
hdiff-unstr-kloop        , 192, 128,   1,   2,   2,   1,  0.936140,  0.922177,  1.161992,  0.078389,  0.068176,  1.161992
hdiff-unstr-kloop        , 192, 192,   1,   2,   2,   1,  0.939373,  0.924077,  1.170666,  0.078642,  0.068070,  1.170666
hdiff-unstr-kloop        , 192, 256,   1,   2,   1,   1,  0.959943,  0.946808,  1.165034,  0.101675,  0.092308,  1.165034
hdiff-unstr-kloop        , 256,  64,   1,   1,   4,   1,  0.951706,  0.934972,  1.218542,  0.089061,  0.077050,  1.218542
hdiff-unstr-kloop        , 256, 128,   1,   1,   2,   1,  0.964805,  0.950060,  1.183478,  0.104761,  0.093732,  1.183478
hdiff-unstr-kloop        , 256, 192,   1,   1,   2,   1,  0.964401,  0.949460,  1.189457,  0.104711,  0.094175,  1.189457
hdiff-unstr-kloop        , 256, 256,   1,   1,   1,   1,  1.010529,  0.997213,  1.214850,  0.151711,  0.142587,  1.214850
