./gridbenchmark --print-runs --no-verify --size 128x128x64 --threads 32x1x1 32x1x2 32x2x1 64x1x1 32x1x4 32x2x2 32x4x1 64x1x2 64x2x1 128x1x1 32x1x8 32x2x4 32x4x2 32x8x1 64x1x4 64x2x2 64x4x1 128x1x2 128x2x1 32x1x16 32x2x8 32x4x4 32x8x2 32x16x1 64x1x8 64x2x4 64x4x2 64x8x1 128x1x4 128x2x2 128x4x1 laplap-regular-naive laplap-regular-idxvar laplap-unstr-naive laplap-unstr-idxvar laplap-unstr-idxvar-kloop laplap-unstr-idxvar-kloop-sliced laplap-unstr-idxvar-shared laplap-unstr-naive -c laplap-unstr-idxvar -c laplap-unstr-idxvar-kloop -c laplap-unstr-idxvar-kloop-sliced -c laplap-unstr-idxvar-shared -c hdiff-regular-naive hdiff-regular-idxvar hdiff-regular-jloop hdiff-unstr-naive hdiff-unstr-idxvar hdiff-unstr-idxvar-kloop hdiff-unstr-idxvar-kloop-sliced hdiff-unstr-idxvar-shared hdiff-unstr-naive -c hdiff-unstr-idxvar -c hdiff-unstr-idxvar-kloop -c hdiff-unstr-idxvar-kloop-sliced -c hdiff-unstr-idxvar-shared -c laplap-unstr-naive -z laplap-unstr-idxvar -z laplap-unstr-idxvar-kloop -z laplap-unstr-idxvar-kloop-sliced -z laplap-unstr-idxvar-shared -z hdiff-unstr-naive -z hdiff-unstr-idxvar -z hdiff-unstr-idxvar-kloop -z hdiff-unstr-idxvar-kloop-sliced -z hdiff-unstr-idxvar-shared -z 
Benchmark                           , Precision, Domain size,,, Blocks     ,,, Threads    ,,, Kernel-only execution time                                                                                                                                                                                                                                            
                                    ,          ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,    Median,   Minimum,   Maximum, Run  1   , Run  2   , Run  3   , Run  4   , Run  5   , Run  6   , Run  7   , Run  8   , Run  9   , Run 10   , Run 11   , Run 12   , Run 13   , Run 14   , Run 15   , Run 16   , Run 17   , Run 18   , Run 19   , Run 20   
laplap-regular-naive                ,    double, 128, 128,  64,   4, 124,  64,  32,   1,   1,        66,        66,        66,        68,        68,        67,        66,        66,        66,        66,        66,        66,        66,        66,        67,        66,        66,        66,        66,        66,        66,        66,        66,        66
laplap-regular-naive                ,    double, 128, 128,  64,   4, 124,  32,  32,   1,   2,        40,        40,        39,        42,        42,        40,        40,        40,        40,        40,        40,        40,        40,        40,        41,        40,        39,        39,        40,        40,        40,        40,        40,        40
laplap-regular-naive                ,    double, 128, 128,  64,   4,  62,  64,  32,   2,   1,        40,        40,        39,        41,        41,        40,        40,        40,        40,        40,        39,        39,        39,        40,        39,        39,        39,        39,        39,        39,        39,        39,        40,        41
laplap-regular-naive                ,    double, 128, 128,  64,   2, 124,  64,  64,   1,   1,        40,        40,        39,        41,        41,        40,        39,        39,        40,        40,        40,        39,        40,        40,        40,        40,        40,        39,        40,        40,        40,        40,        40,        40
laplap-regular-naive                ,    double, 128, 128,  64,   4, 124,  16,  32,   1,   4,        36,        36,        34,        44,        37,        35,        36,        37,        37,        36,        37,        34,        36,        35,        36,        35,        37,        35,        36,        35,        44,        35,        36,        34
laplap-regular-naive                ,    double, 128, 128,  64,   4,  62,  32,  32,   2,   2,        32,        32,        31,        34,        33,        33,        32,        32,        33,        32,        33,        32,        32,        33,        32,        32,        31,        32,        32,        32,        32,        33,        32,        34
laplap-regular-naive                ,    double, 128, 128,  64,   4,  31,  64,  32,   4,   1,        32,        32,        31,        34,        34,        31,        31,        32,        32,        31,        33,        31,        32,        33,        32,        32,        31,        32,        33,        31,        31,        32,        32,        32
laplap-regular-naive                ,    double, 128, 128,  64,   2, 124,  32,  64,   1,   2,        33,        34,        32,        35,        35,        33,        33,        33,        33,        34,        34,        33,        32,        34,        33,        32,        34,        33,        34,        33,        34,        34,        33,        34
laplap-regular-naive                ,    double, 128, 128,  64,   2,  62,  64,  64,   2,   1,        32,        32,        30,        33,        32,        32,        32,        31,        33,        31,        31,        30,        31,        31,        31,        31,        32,        32,        32,        31,        31,        32,        33,        32
laplap-regular-naive                ,    double, 128, 128,  64,   4, 124,   8,  32,   1,   8,        36,        36,        35,        38,        37,        38,        36,        36,        37,        36,        36,        35,        35,        37,        36,        35,        36,        35,        36,        36,        36,        36,        37,        35
