,stencil,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
0,laplap,naive,False,False,False,False,64,64,64,60,60,64,1,1,1,1,416420.0,416452.0,415670.0,418070.0
1,laplap,naive,False,False,False,False,64,64,64,60,60,32,2,1,1,2,211735.0,211808.0,211250.0,213280.0
2,laplap,naive,False,False,False,False,64,64,64,60,30,64,2,1,2,1,211990.0,212462.0,211320.0,215070.0
3,laplap,naive,False,False,False,False,64,64,64,30,60,64,2,2,1,1,211775.0,211809.0,211170.0,213780.0
4,laplap,naive,False,False,False,False,64,64,64,60,60,16,4,1,1,4,111330.0,111439.0,110960.0,112220.0
5,laplap,naive,False,False,False,False,64,64,64,60,30,32,4,1,2,2,111255.0,111463.0,110820.0,116360.0
6,laplap,naive,False,False,False,False,64,64,64,60,15,64,4,1,4,1,111340.0,111804.0,111040.0,114120.0
7,laplap,naive,False,False,False,False,64,64,64,30,60,32,4,2,1,2,111110.0,111218.0,110860.0,111830.0
8,laplap,naive,False,False,False,False,64,64,64,30,30,64,4,2,2,1,111310.0,111446.0,110740.0,113790.0
9,laplap,naive,False,False,False,False,64,64,64,15,60,64,4,4,1,1,111145.0,111488.0,110700.0,115170.0
10,laplap,naive,False,False,False,False,64,64,64,60,60,8,8,1,1,8,61755.0,61973.0,61190.0,67400.0
11,laplap,naive,False,False,False,False,64,64,64,60,30,16,8,1,2,4,61320.0,61313.0,60840.0,62150.0
12,laplap,naive,False,False,False,False,64,64,64,60,15,32,8,1,4,2,61305.0,61239.0,60810.0,61770.0
13,laplap,naive,False,False,False,False,64,64,64,60,8,64,8,1,8,1,64555.0,64511.0,64160.0,65040.0
14,laplap,naive,False,False,False,False,64,64,64,30,60,16,8,2,1,4,61170.0,61652.0,60840.0,69290.0
15,laplap,naive,False,False,False,False,64,64,64,30,30,32,8,2,2,2,61060.0,61026.0,60610.0,61600.0
16,laplap,naive,False,False,False,False,64,64,64,30,15,64,8,2,4,1,60920.0,61008.0,60620.0,61960.0
17,laplap,naive,False,False,False,False,64,64,64,15,60,32,8,4,1,2,61360.0,61476.0,60720.0,62750.0
18,laplap,naive,False,False,False,False,64,64,64,15,30,64,8,4,2,1,61095.0,61120.0,60620.0,62110.0
19,laplap,naive,False,False,False,False,64,64,64,8,60,64,8,8,1,1,64435.0,64840.0,63910.0,73170.0
20,laplap,naive,False,False,False,False,64,64,64,60,60,4,16,1,1,16,54860.0,55026.0,54270.0,56580.0
21,laplap,naive,False,False,False,False,64,64,64,60,30,8,16,1,2,8,46535.0,46676.0,46250.0,47360.0
22,laplap,naive,False,False,False,False,64,64,64,60,15,16,16,1,4,4,46190.0,46240.0,45670.0,46970.0
23,laplap,naive,False,False,False,False,64,64,64,60,8,32,16,1,8,2,46625.0,46835.0,46250.0,49940.0
24,laplap,naive,False,False,False,False,64,64,64,60,4,64,16,1,16,1,46525.0,46612.0,46140.0,47680.0
25,laplap,naive,False,False,False,False,64,64,64,30,60,8,16,2,1,8,37310.0,37352.0,36630.0,39660.0
26,laplap,naive,False,False,False,False,64,64,64,30,30,16,16,2,2,4,35990.0,36022.0,35630.0,36520.0
27,laplap,naive,False,False,False,False,64,64,64,30,15,32,16,2,4,2,36080.0,36120.0,35640.0,36700.0
28,laplap,naive,False,False,False,False,64,64,64,30,8,64,16,2,8,1,37690.0,37758.0,37330.0,39060.0
29,laplap,naive,False,False,False,False,64,64,64,15,60,16,16,4,1,4,36190.0,36224.0,35840.0,36790.0
30,laplap,naive,False,False,False,False,64,64,64,15,30,32,16,4,2,2,36065.0,36476.0,35560.0,43140.0
31,laplap,naive,False,False,False,False,64,64,64,15,15,64,16,4,4,1,35980.0,36031.0,35790.0,36610.0
32,laplap,naive,False,False,False,False,64,64,64,8,60,32,16,8,1,2,37680.0,37866.0,37350.0,39250.0
33,laplap,naive,False,False,False,False,64,64,64,8,30,64,16,8,2,1,37400.0,37593.0,37150.0,38470.0
