,stencil,precision,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
0,laplap,single,idxvar,False,False,False,False,512,512,1,8,508,1,64,64,1,1,16674.0,16752.0,16458.0,17550.0
1,laplap,single,idxvar,True,False,False,False,512,512,1,8,508,1,64,64,1,1,18333.0,18443.0,18143.0,19748.0
2,laplap,single,idxvar,True,True,False,False,512,512,1,8,508,1,64,64,1,1,18331.0,18162.0,17356.0,19291.0
3,laplap,single,idxvar,True,False,False,True,512,512,1,8,508,1,64,64,1,1,30630.0,30966.0,30173.0,31837.0
4,laplap,single,idxvar,True,True,False,True,512,512,1,8,508,1,64,64,1,1,30737.0,30659.0,29994.0,31814.0
5,laplap,single,idxvar,True,False,True,False,512,512,1,8,508,1,64,64,1,1,17660.0,17782.0,17441.0,19281.0
6,laplap,single,idxvar,True,False,True,True,512,512,1,8,508,1,64,64,1,1,17210.0,17271.0,16644.0,18446.0
7,laplap,single,idxvar,True,True,True,False,512,512,1,8,508,1,64,64,1,1,18729.0,18883.0,18017.0,20193.0
8,laplap,single,idxvar,True,True,True,True,512,512,1,8,508,1,64,64,1,1,19783.0,20298.0,18714.0,29826.0
9,laplap,single,idxvar-shared,True,False,False,False,512,512,1,8,508,1,64,64,1,1,19942.0,19793.0,18968.0,20652.0
10,laplap,single,idxvar-kloop,True,False,False,False,512,512,1,8,508,1,64,64,1,1,18608.0,18664.0,18056.0,20084.0
11,laplap,single,idxvar-kloop-sliced,True,False,False,False,512,512,1,8,508,1,64,64,1,1,19390.0,19524.0,18511.0,20704.0
12,laplap,single,naive,True,False,False,False,512,512,1,8,508,1,64,64,1,1,20482.0,20590.0,19876.0,21791.0
13,laplap,double,idxvar,False,False,False,False,512,512,1,8,508,1,64,64,1,1,17430.0,17562.0,17197.0,19308.0
14,laplap,double,idxvar,True,False,False,False,512,512,1,8,508,1,64,64,1,1,26235.0,26140.0,25033.0,27352.0
15,laplap,double,idxvar,True,True,False,False,512,512,1,8,508,1,64,64,1,1,25240.0,25354.0,24196.0,26148.0
16,laplap,double,idxvar,True,False,False,True,512,512,1,8,508,1,64,64,1,1,34615.0,34723.0,33365.0,37186.0
17,laplap,double,idxvar,True,True,False,True,512,512,1,8,508,1,64,64,1,1,34580.0,34666.0,33702.0,35642.0
18,laplap,double,idxvar,True,False,True,False,512,512,1,8,508,1,64,64,1,1,17574.0,17872.0,17389.0,20963.0
19,laplap,double,idxvar,True,False,True,True,512,512,1,8,508,1,64,64,1,1,17739.0,17856.0,17459.0,19537.0
20,laplap,double,idxvar,True,True,True,False,512,512,1,8,508,1,64,64,1,1,18502.0,18617.0,18034.0,20356.0
21,laplap,double,idxvar,True,True,True,True,512,512,1,8,508,1,64,64,1,1,19060.0,19271.0,18875.0,20689.0
22,laplap,double,idxvar-shared,True,False,False,False,512,512,1,8,508,1,64,64,1,1,29022.0,29062.0,27815.0,33148.0
23,laplap,double,idxvar-kloop,True,False,False,False,512,512,1,8,508,1,64,64,1,1,26744.0,26653.0,25807.0,28323.0
24,laplap,double,idxvar-kloop-sliced,True,False,False,False,512,512,1,8,508,1,64,64,1,1,26663.0,26594.0,25952.0,27387.0
25,laplap,double,naive,True,False,False,False,512,512,1,8,508,1,64,64,1,1,29133.0,29292.0,28288.0,34096.0
26,laplap,single,idxvar,False,False,False,False,512,512,2,8,508,1,128,64,1,2,16568.0,16677.0,16359.0,17253.0
27,laplap,single,idxvar,True,False,False,False,512,512,2,8,508,1,128,64,1,2,27017.0,26868.0,25922.0,27930.0
28,laplap,single,idxvar,True,True,False,False,512,512,2,8,508,1,128,64,1,2,26488.0,26395.0,25417.0,27292.0
29,laplap,single,idxvar,True,False,False,True,512,512,2,8,508,1,128,64,1,2,36029.0,36734.0,34882.0,51626.0
30,laplap,single,idxvar,True,True,False,True,512,512,2,8,508,1,128,64,1,2,36682.0,36626.0,36015.0,37333.0
31,laplap,single,idxvar,True,False,True,False,512,512,2,8,508,1,128,64,1,2,20326.0,20349.0,20035.0,21418.0
32,laplap,single,idxvar,True,False,True,True,512,512,2,8,508,1,128,64,1,2,18538.0,18694.0,18176.0,20199.0
33,laplap,single,idxvar,True,True,True,False,512,512,2,8,508,1,128,64,1,2,20884.0,21050.0,20628.0,22799.0
34,laplap,single,idxvar,True,True,True,True,512,512,2,8,508,1,128,64,1,2,21407.0,21786.0,20324.0,31737.0
35,laplap,single,idxvar-shared,True,False,False,False,512,512,2,8,508,1,128,64,1,2,26150.0,26502.0,25200.0,31557.0
36,laplap,single,idxvar-kloop,True,False,False,False,512,512,2,8,508,1,64,64,1,1,27454.0,27435.0,26329.0,29376.0
37,laplap,single,idxvar-kloop-sliced,True,False,False,False,512,512,2,8,508,1,128,64,1,2,29508.0,30092.0,27861.0,41719.0
38,laplap,single,naive,True,False,False,False,512,512,2,8,508,1,128,64,1,2,30907.0,31016.0,30022.0,32684.0
39,laplap,double,idxvar,False,False,False,False,512,512,2,8,508,1,128,64,1,2,23030.0,23227.0,22261.0,28163.0
40,laplap,double,idxvar,True,False,False,False,512,512,2,8,508,1,128,64,1,2,36164.0,35450.0,32702.0,37550.0
41,laplap,double,idxvar,True,True,False,False,512,512,2,8,508,1,128,64,1,2,33330.0,34102.0,32437.0,44884.0
