./gridbenchmark --no-verify --single-prec --double-prec --print-runs --size 512x512x1 512x512x2 512x512x3 512x512x4 512x512x5 512x512x6 512x512x7 512x512x8 512x512x9 512x512x10 512x512x11 512x512x12 512x512x13 512x512x14 512x512x15 512x512x16 512x512x17 512x512x18 512x512x19 512x512x20 512x512x21 512x512x22 512x512x23 512x512x24 512x512x25 512x512x26 512x512x27 512x512x28 512x512x29 512x512x30 512x512x31 512x512x32 512x512x33 512x512x34 512x512x35 512x512x36 512x512x37 512x512x38 512x512x39 512x512x40 512x512x41 512x512x42 512x512x43 512x512x44 512x512x45 512x512x46 512x512x47 512x512x48 512x512x49 512x512x50 512x512x51 512x512x52 512x512x53 512x512x54 512x512x55 512x512x56 512x512x57 512x512x58 512x512x59 512x512x60 512x512x61 512x512x62 512x512x63 512x512x64 --threads 64x1x8 laplap-regular-idxvar laplap-unstr-idxvar laplap-unstr-idxvar -z laplap-unstr-idxvar -n laplap-unstr-idxvar -n -z laplap-unstr-idxvar -c laplap-unstr-idxvar -c -n laplap-unstr-idxvar -c -z laplap-unstr-idxvar -c -z -n laplap-unstr-idxvar-shared laplap-unstr-idxvar-kloop laplap-unstr-idxvar-kloop-sliced laplap-unstr-naive 
Benchmark                           , Precision, Domain size,,, Blocks     ,,, Threads    ,,, Kernel-only execution time                                                                                                                                                                                                                                            
                                    ,          ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,    Median,   Minimum,   Maximum, Run  1   , Run  2   , Run  3   , Run  4   , Run  5   , Run  6   , Run  7   , Run  8   , Run  9   , Run 10   , Run 11   , Run 12   , Run 13   , Run 14   , Run 15   , Run 16   , Run 17   , Run 18   , Run 19   , Run 20   
laplap-regular-idxvar               ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     16752,     16674,     16458,     17550,     17550,     17147,     16945,     16645,     16959,     16541,     16923,     16760,     16479,     16555,     17224,     16467,     16589,     16466,     16541,     17005,     16773,     16484,     16535,     16458
laplap-unstr-idxvar                 ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     18443,     18333,     18143,     19748,     19748,     18858,     18405,     18364,     18300,     18664,     18567,     18282,     18222,     18339,     18627,     18159,     18302,     18276,     18195,     18612,     18163,     18229,     18143,     18411
laplap-unstr-idxvar-z-curves-4      ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     18162,     18331,     17356,     19291,     19291,     18418,     17656,     18760,     17485,     18063,     17436,     18318,     18344,     17563,     18678,     17558,     18273,     17356,     18351,     18818,     18608,     18541,     18265,     17456
laplap-unstr-idxvar-no-chase        ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     30966,     30630,     30173,     31837,     31336,     31023,     30239,     31225,     31185,     30864,     30991,     30173,     31255,     31036,     31362,     30224,     30912,     31071,     30193,     31459,     30950,     31837,     31003,     30973
laplap-unstr-idxvar-no-chase-z-curves-4,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     30659,     30737,     29994,     31814,     31814,     31488,     30375,     31037,     31019,     31303,     30126,     29998,     30059,     29994,     30486,     31299,     30069,     30764,     30466,     31094,     30183,     30710,     30859,     30042
laplap-unstr-idxvar-comp            ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     17782,     17660,     17441,     19281,     18114,     18193,     17640,     17660,     17535,     17966,     17661,     17934,     17751,     17578,     17913,     17441,     17559,     17478,     17501,     19281,     17468,     17477,     17596,     17895
laplap-unstr-idxvar-comp-no-chase   ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     17271,     17210,     16644,     18446,     18446,     18392,     17706,     16698,     16707,     17259,     17667,     16959,     17526,     16873,     17162,     16735,     16644,     16913,     17487,     17942,     16647,     16897,     17545,     17207
laplap-unstr-idxvar-comp-z-curves-4 ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     18883,     18729,     18017,     20193,     20053,     18886,     18323,     18493,     18931,     18831,     18472,     18296,     18017,     19369,     19018,     19178,     20193,     18527,     18401,     19199,     19020,     18602,     19126,     18734
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     20298,     19783,     18714,     29826,     21712,     19929,     18811,     19943,     19913,     19519,     29826,     18956,     19988,     19401,     20531,     19637,     19347,     19598,     19121,     20244,     20231,     18714,     19502,     21046
laplap-unstr-idxvar-shared          ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     19793,     19942,     18968,     20652,     20406,     20457,     20060,     19981,     20204,     19688,     19029,     19030,     20064,     19270,     20230,     19275,     18968,     20019,     19796,     20652,     19826,     19115,     19904,     19894
laplap-unstr-idxvar-kloop           ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     18664,     18608,     18056,     20084,     20084,     18788,     18592,     18935,     18366,     18624,     18274,     18200,     18980,     18287,     19389,     18056,     18284,     19015,     18260,     19502,     19065,     18171,     18270,     18129
laplap-unstr-idxvar-kloop-sliced    ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     19524,     19390,     18511,     20704,     19800,     19807,     19835,     20090,     20704,     20150,     19458,     19074,     19393,     19208,     20154,     19607,     19658,     18511,     19060,     19540,     19058,     19070,     19174,     19138
laplap-unstr-naive                  ,    single, 512, 512,   1,   8, 508,   1,  64,   1,   1,     20590,     20482,     19876,     21791,     21791,     20781,     20884,     20212,     20007,     21448,     20751,     20060,     19876,     20761,     21104,     20065,     19939,     20748,     19951,     21275,     19888,     20716,     20733,     20803
